,Season,Name,x2B%,2B%
299,2021,Eduardo Escobar,0.485,0.441
235,2017,Carlos Correa,0.536,0.5
1136,2018,Yolmer Sanchez,0.669,0.654
398,2016,J.D. Martinez,0.453,0.593
49,2021,Brandon Lowe,0.401,0.443
519,2021,Xander Bogaerts,0.524,0.586
3,2019,Miguel Sano,0.407,0.345
453,2015,Mark Trumbo,0.528,0.479
1152,2017,Dansby Swanson,0.738,0.742
142,2015,Pedro Alvarez,0.472,0.4
461,2018,Anthony Rendon,0.541,0.629
763,2016,Hunter Pence,0.559,0.622
1101,2021,David Peralta,0.627,0.652
584,2015,Carlos Beltran,0.516,0.63
405,2019,Albert Pujols,0.53,0.489
355,2019,Christian Vazquez,0.621,0.52
147,2015,J.D. Martinez,0.483,0.452
782,2016,Jean Segura,0.56,0.603
680,2016,Ian Desmond,0.548,0.537
267,2018,David Peralta,0.576,0.417
123,2021,Miguel Sano,0.398,0.444
593,2015,Matt Kemp,0.551,0.544
942,2021,Christian Walker,0.576,0.676
873,2015,Michael Brantley,0.644,0.75
204,2019,Juan Soto,0.488,0.451
43,2021,Franmil Reyes,0.324,0.36
1168,2016,Alcides Escobar,0.661,0.649
25,2016,Khris Davis,0.334,0.353
1014,2015,Nick Ahmed,0.645,0.531
254,2019,Randal Grichuk,0.454,0.446
419,2015,Joey Votto,0.547,0.516
1145,2017,Joe Mauer,0.689,0.818
968,2017,Andrelton Simmons,0.63,0.704
631,2021,Wil Myers,0.484,0.558
1195,2015,Yadier Molina,0.686,0.793
305,2017,Anthony Rizzo,0.499,0.478
19,2016,Mark Trumbo,0.375,0.36
738,2019,Adam Jones,0.545,0.595
115,2021,Jose Ramirez,0.429,0.438
470,2021,Harrison Bader,0.484,0.553
359,2016,Troy Tulowitzki,0.489,0.467
278,2017,Adam Duvall,0.484,0.521
277,2019,Christian Walker,0.474,0.464
100,2021,Nick Castellanos,0.546,0.521
117,2017,Scott Schebler,0.448,0.439
436,2016,Ian Kinsler,0.58,0.475
1119,2017,Delino DeShields,0.615,0.652
374,2017,Kris Bryant,0.449,0.535
469,2017,Carlos Gomez,0.511,0.561
