Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Pitches,Swing%,Contact%,GB,FB,LD,Fair/Foul ratio
2019,Anthony Rendon,WSN,146,646,13.30%,23.80%,77.80%,70.10%,93.20%,41.80%,57.60%,5.10%,22.30%,2613,0.431,0.883,155,214,99,
2014,Andrew McCutchen,PIT,146,648,17.70%,27.10%,68.50%,69.10%,84.00%,42.30%,56.50%,9.50%,24.70%,2640,0.449,0.786,175,182,82,
2014,Victor Martinez,DET,151,641,6.60%,34.30%,88.10%,59.10%,95.00%,42.00%,54.80%,3.50%,21.70%,2586,0.447,0.919,213,200,112,
2014,Jose Abreu,CHW,145,622,21.10%,40.90%,58.70%,75.40%,84.60%,39.60%,59.50%,14.40%,25.30%,2351,0.545,0.729,195,134,100,
2017,Giancarlo Stanton,MIA,159,692,23.60%,27.40%,52.40%,65.80%,81.50%,40.50%,53.20%,12.70%,28.20%,2736,0.429,0.704,195,172,70,
2011,Prince Fielder,MIL,162,692,15.30%,30.70%,67.10%,66.60%,91.20%,37.40%,55.30%,8.10%,24.10%,2629,0.441,0.807,202,174,93,
2012,Mike Trout,LAA,139,639,21.80%,26.00%,70.90%,55.10%,87.60%,46.90%,57.30%,7.20%,29.30%,2608,0.396,0.818,187,139,95,
2016,Daniel Murphy,WSN,142,582,9.80%,33.40%,79.10%,64.80%,95.60%,42.60%,56.00%,5.10%,22.10%,2079,0.468,0.888,175,202,105,
2011,Lance Berkman,STL,145,587,15.80%,24.90%,63.70%,75.60%,86.50%,41.60%,54.90%,9.30%,20.70%,2224,0.46,0.793,154,156,88,
2011,Adrian Gonzalez,BOS,159,715,16.60%,34.40%,71.90%,69.90%,89.20%,38.90%,55.80%,8.60%,22.50%,2735,0.482,0.817,240,165,109,
2011,David Ortiz,BOS,146,605,13.70%,27.10%,72.70%,68.40%,89.50%,40.10%,56.90%,7.20%,22.60%,2436,0.437,0.833,182,166,95,
2017,Freddie Freeman,ATL,117,514,18.50%,32.70%,66.10%,84.20%,83.30%,39.10%,58.20%,12.20%,20.50%,1929,0.529,0.769,121,141,85,
2010,Troy Tulowitzki,COL,122,529,14.70%,26.80%,75.60%,60.60%,91.10%,46.00%,57.80%,5.90%,24.80%,1920,0.424,0.858,177,158,59,
2012,Buster Posey,SFG,148,610,15.70%,26.40%,77.10%,60.70%,89.60%,45.00%,57.20%,6.10%,25.10%,2599,0.418,0.853,206,128,109,
2011,Joey Votto,CIN,161,719,17.90%,24.90%,66.70%,68.60%,85.50%,40.40%,54.40%,8.80%,24.60%,2888,0.426,0.789,186,159,131,
2012,Giancarlo Stanton,MIA,123,501,28.50%,36.10%,49.50%,66.00%,83.00%,40.90%,60.90%,15.10%,30.50%,1908,0.483,0.682,111,128,68,
2017,Jose Altuve,HOU,153,662,12.70%,33.10%,74.90%,67.80%,91.70%,41.70%,66.90%,7.20%,23.30%,2308,0.476,0.849,236,164,102,
2019,Ketel Marte,ARI,144,628,13.70%,31.80%,73.30%,71.60%,90.60%,39.70%,58.10%,7.80%,22.40%,2402,0.476,0.836,208,168,107,
2013,Paul Goldschmidt,ARI,160,710,20.40%,25.10%,69.00%,62.00%,84.60%,44.70%,55.40%,8.40%,27.00%,2930,0.416,0.794,205,160,97,
2014,Giancarlo Stanton,MIA,145,638,26.60%,30.60%,53.30%,64.40%,81.80%,38.70%,50.50%,12.90%,28.60%,2597,0.437,0.696,153,145,73,
2016,Josh Donaldson,TOR,155,700,17.00%,24.60%,63.30%,66.40%,83.70%,41.50%,57.00%,9.70%,25.20%,2952,0.42,0.767,176,187,98,
2012,Andrew McCutchen,PIT,157,673,19.60%,25.50%,61.00%,69.80%,85.00%,45.70%,57.90%,10.00%,25.40%,2612,0.457,0.777,204,160,102,
2013,Jayson Werth,WSN,129,532,19.00%,24.30%,70.30%,58.50%,87.30%,47.50%,60.50%,7.30%,28.50%,2258,0.405,0.82,132,139,95,
2014,Mike Trout,LAA,157,705,26.10%,23.80%,70.30%,56.40%,85.10%,44.00%,56.20%,7.60%,28.70%,3136,0.381,0.799,145,202,81,
2014,Jose Bautista,TOR,155,673,14.30%,25.30%,71.80%,60.50%,87.70%,41.50%,55.10%,7.20%,25.80%,2743,0.399,0.818,187,193,83,
2016,Freddie Freeman,ATL,158,693,24.70%,32.40%,60.10%,80.70%,79.40%,41.70%,58.00%,14.10%,22.80%,2779,0.526,0.725,128,171,123,
2019,George Springer,HOU,122,556,20.30%,22.80%,56.50%,72.10%,82.70%,43.00%,61.30%,11.00%,25.80%,2299,0.44,0.75,165,132,73,
2017,Paul Goldschmidt,ARI,155,665,22.10%,24.40%,64.30%,62.10%,80.20%,43.80%,58.90%,10.30%,30.00%,2762,0.409,0.749,192,145,78,
2013,Troy Tulowitzki,COL,126,512,16.60%,24.00%,76.20%,59.90%,87.50%,44.40%,56.80%,6.50%,26.70%,1967,0.4,0.837,152,138,76,
2013,Joey Votto,CIN,162,726,19.00%,19.60%,65.90%,67.00%,86.80%,42.70%,51.00%,7.50%,23.70%,3033,0.398,0.809,196,131,122,
2011,Jacoby Ellsbury,BOS,158,732,13.40%,27.10%,75.10%,63.20%,91.60%,46.10%,58.20%,6.10%,25.40%,2818,0.437,0.861,242,192,129,
2013,David Ortiz,BOS,137,600,14.70%,26.70%,66.90%,71.80%,87.40%,41.90%,53.30%,8.60%,22.30%,2311,0.456,0.804,168,168,98,
2017,Justin Turner,LAD,130,543,10.30%,25.00%,77.40%,67.40%,89.10%,44.30%,56.00%,6.40%,22.60%,2030,0.438,0.854,128,195,85,
2017,Kris Bryant,CHC,151,665,19.20%,28.30%,64.70%,68.30%,85.00%,42.70%,57.60%,10.10%,23.90%,2652,0.454,0.777,161,181,85,
2016,Miguel Cabrera,DET,158,679,17.10%,32.90%,68.30%,72.90%,85.80%,41.70%,58.50%,10.20%,23.40%,2510,0.495,0.791,202,172,110,
2012,Prince Fielder,DET,162,690,12.20%,28.50%,67.30%,67.90%,89.30%,39.30%,51.70%,8.30%,24.60%,2558,0.44,0.807,208,168,128,
2017,Tommy Pham,STL,128,530,22.10%,18.90%,62.00%,59.90%,86.50%,46.20%,58.30%,7.60%,27.50%,2120,0.378,0.799,170,86,73,
2015,Josh Donaldson,TOR,158,711,18.70%,25.10%,60.20%,70.70%,82.80%,45.30%,57.00%,11.00%,25.50%,2817,0.457,0.76,222,188,86,
2010,Matt Holliday,STL,158,675,13.80%,28.10%,65.00%,73.50%,87.60%,42.40%,55.30%,9.40%,22.20%,2586,0.474,0.799,212,207,86,
2014,Anthony Rizzo,CHC,140,616,18.80%,31.80%,66.10%,62.10%,90.10%,39.80%,56.80%,8.80%,26.60%,2478,0.439,0.796,147,170,90,
2017,Jose Ramirez,CLE,152,645,10.70%,25.40%,76.60%,66.60%,92.70%,43.70%,55.80%,5.50%,23.10%,2576,0.434,0.874,202,206,111,
2016,Kris Bryant,CHC,155,699,22.00%,30.80%,59.80%,74.20%,81.10%,41.60%,59.80%,13.00%,25.80%,2699,0.488,0.733,138,207,107,
2013,Michael Cuddyer,COL,130,540,18.50%,33.30%,68.10%,62.90%,85.90%,45.10%,60.70%,9.80%,27.30%,2112,0.467,0.789,195,118,79,
2015,Nelson Cruz,SEA,152,655,25.00%,33.20%,59.60%,70.80%,79.30%,41.40%,59.20%,13.70%,28.00%,2632,0.487,0.715,195,145,87,
2012,Edwin Encarnacion,TOR,151,644,14.60%,23.90%,72.40%,62.20%,87.00%,44.70%,55.40%,7.20%,25.60%,2697,0.41,0.822,150,225,80,
2010,Jayson Werth,PHI,156,652,22.50%,21.20%,67.90%,60.60%,82.20%,48.70%,56.40%,8.70%,28.80%,2849,0.404,0.783,154,189,73,
2018,Alex Bregman,HOU,157,705,12.10%,20.00%,79.10%,60.50%,92.80%,42.30%,54.00%,4.30%,25.20%,2821,0.371,0.885,177,222,112,
2017,Nolan Arenado,COL,159,680,15.60%,30.60%,63.10%,70.90%,87.30%,43.60%,57.20%,10.30%,24.40%,2627,0.482,0.787,172,227,107,
2011,Matt Holliday,STL,124,516,18.00%,28.70%,61.60%,72.90%,86.30%,42.40%,57.60%,10.50%,23.70%,2028,0.474,0.777,163,119,73,
2012,Robinson Cano,NYY,161,697,13.80%,34.50%,72.80%,72.30%,89.80%,40.10%,58.00%,8.50%,21.40%,2462,0.497,0.827,259,137,136,
2017,Anthony Rendon,WSN,147,605,13.60%,21.00%,73.20%,63.00%,92.60%,46.20%,57.00%,5.20%,23.90%,2645,0.404,0.872,147,204,81,
2019,Juan Soto,WSN,150,659,20.00%,23.40%,62.10%,68.60%,86.60%,38.50%,55.50%,9.00%,25.10%,2791,0.408,0.779,171,153,87,
2016,Charlie Blackmon,COL,143,641,15.90%,34.00%,74.90%,63.80%,91.50%,43.30%,54.60%,7.20%,24.60%,2614,0.469,0.847,163,179,132,
2011,Curtis Granderson,NYY,156,691,24.50%,25.30%,60.80%,62.20%,88.10%,41.60%,52.20%,8.90%,28.00%,3069,0.406,0.782,141,200,76,
2013,Andrew McCutchen,PIT,157,674,15.00%,27.00%,65.80%,71.50%,87.60%,43.40%,58.00%,8.90%,23.30%,2562,0.463,0.804,198,169,119,
2013,Shin-Soo Choo,CIN,154,712,18.70%,21.80%,63.30%,63.00%,87.70%,42.30%,57.20%,7.80%,25.70%,3010,0.392,0.799,215,128,92,
2017,Zack Cozart,CIN,122,507,15.40%,24.40%,71.20%,60.40%,92.20%,45.80%,60.90%,6.00%,26.40%,2125,0.409,0.854,139,154,71,
2019,Nolan Arenado,COL,155,662,14.00%,37.90%,69.50%,73.30%,89.30%,38.30%,61.90%,10.10%,22.70%,2391,0.514,0.803,181,225,97,
2015,Edwin Encarnacion,TOR,146,624,15.70%,25.70%,64.90%,66.90%,85.20%,43.10%,55.40%,9.30%,25.60%,2517,0.435,0.784,159,196,85,
2016,DJ LeMahieu,COL,146,635,12.60%,23.90%,79.40%,60.90%,94.70%,48.60%,58.40%,4.10%,24.40%,2577,0.419,0.902,240,108,126,
2018,Jose Ramirez,CLE,157,698,11.50%,22.30%,79.40%,62.30%,92.10%,40.40%,53.00%,4.70%,23.20%,3002,0.385,0.877,168,231,104,
2016,Anthony Rizzo,CHC,155,676,16.00%,32.20%,69.80%,64.20%,90.90%,40.50%,57.20%,8.10%,24.90%,2656,0.452,0.82,183,197,97,
2010,Robinson Cano,NYY,160,696,11.10%,35.60%,75.10%,73.80%,94.40%,42.40%,58.30%,6.80%,19.00%,2414,0.517,0.867,245,202,107,
2010,Adrian Beltre,BOS,154,641,12.80%,38.60%,73.00%,69.50%,89.70%,44.00%,57.30%,8.80%,23.00%,2401,0.522,0.827,208,208,98,
2011,Carlos Beltran,- - -,142,598,14.70%,27.20%,75.20%,66.80%,90.20%,40.50%,57.20%,6.60%,22.60%,2241,0.433,0.846,173,171,92,
2018,Nolan Arenado,COL,156,673,18.10%,33.20%,66.20%,73.30%,84.40%,41.50%,58.40%,11.30%,24.50%,2592,0.498,0.773,189,184,101,
2016,Jose Altuve,HOU,161,717,9.80%,32.70%,77.70%,71.20%,91.30%,42.50%,61.10%,6.70%,20.90%,2474,0.491,0.861,238,184,150,
2011,Michael Morse,WSN,146,575,21.90%,36.80%,64.90%,70.40%,84.50%,43.20%,66.80%,12.00%,26.40%,2140,0.513,0.766,176,146,78,
2018,Paul Goldschmidt,ARI,158,690,25.10%,28.80%,66.70%,62.40%,82.20%,40.40%,59.10%,10.20%,29.60%,2905,0.423,0.759,162,153,105,
2019,Anthony Rizzo,CHC,146,613,14.00%,33.80%,74.50%,65.30%,88.60%,37.40%,51.40%,8.20%,24.20%,2470,0.455,0.82,183,136,108,
2015,Chris Davis,BAL,160,670,31.00%,30.10%,50.90%,72.20%,76.50%,41.30%,62.10%,15.60%,28.00%,2786,0.475,0.67,117,160,91,
2010,Ryan Zimmerman,WSN,142,603,16.30%,25.30%,68.70%,57.40%,87.80%,45.00%,58.20%,7.40%,28.10%,2417,0.397,0.811,178,178,76,
2019,Xander Bogaerts,BOS,155,698,17.50%,29.40%,68.60%,57.70%,89.40%,41.30%,57.20%,7.90%,30.40%,2862,0.411,0.807,205,198,95,
2011,Troy Tulowitzki,COL,143,606,13.00%,26.30%,82.00%,57.70%,91.80%,46.50%,59.60%,4.60%,25.20%,2219,0.409,0.884,192,179,90,
2014,Edwin Encarnacion,TOR,128,542,15.10%,27.70%,70.30%,62.10%,88.70%,44.20%,59.20%,7.60%,25.80%,2241,0.429,0.821,144,187,65,
2014,Michael Brantley,CLE,156,676,8.30%,24.70%,82.50%,63.90%,95.80%,43.20%,55.90%,3.60%,22.70%,2415,0.417,0.913,257,157,143,
2015,Jose Bautista,TOR,153,666,15.90%,22.20%,67.70%,61.90%,87.10%,43.30%,53.00%,7.50%,25.80%,2741,0.394,0.809,166,217,62,
2017,Marcell Ozuna,MIA,159,679,21.20%,33.10%,59.20%,73.10%,83.90%,41.30%,62.90%,12.80%,26.70%,2560,0.496,0.743,222,158,91,
2013,Edwin Encarnacion,TOR,142,621,10.00%,25.40%,73.90%,63.10%,90.30%,42.30%,59.10%,6.30%,24.20%,2461,0.414,0.845,166,205,102,
2012,Adrian Beltre,TEX,156,654,12.50%,38.60%,74.50%,67.50%,89.50%,44.40%,58.40%,8.50%,24.40%,2384,0.514,0.832,207,212,112,
2017,Ryan Zimmerman,WSN,144,576,21.90%,31.10%,64.70%,62.50%,86.20%,42.20%,57.10%,10.00%,28.70%,2222,0.443,0.775,187,136,80,
2013,Freddie Freeman,ATL,147,629,19.20%,34.30%,69.60%,85.70%,82.40%,39.60%,57.90%,12.10%,19.80%,2398,0.547,0.775,166,153,116,
2019,Charlie Blackmon,COL,140,634,16.40%,33.30%,70.20%,70.80%,88.60%,43.70%,62.00%,9.10%,24.70%,2362,0.497,0.817,188,181,110,
2019,Freddie Freeman,ATL,158,692,18.40%,32.90%,69.00%,82.60%,82.70%,38.30%,55.10%,11.70%,20.90%,2750,0.519,0.774,181,161,130,
2010,Luke Scott,BAL,131,517,19.00%,27.90%,56.20%,71.40%,84.10%,40.90%,57.10%,11.80%,26.10%,2030,0.457,0.74,144,145,67,
2012,Melky Cabrera,SFG,113,501,12.60%,34.60%,82.40%,66.70%,92.30%,40.10%,62.70%,5.60%,21.60%,1771,0.475,0.88,206,103,86,
2012,Josh Hamilton,TEX,148,636,25.50%,45.00%,51.90%,84.90%,77.70%,33.70%,60.50%,20.30%,27.20%,2349,0.584,0.645,154,168,87,
2010,Aubrey Huff,SFG,157,668,13.60%,28.40%,70.60%,58.50%,91.00%,43.30%,53.70%,7.00%,25.90%,2563,0.414,0.83,217,180,87,
2019,J.D. Martinez,BOS,146,657,21.00%,31.80%,56.20%,75.70%,86.80%,40.20%,61.60%,12.30%,25.50%,2463,0.495,0.75,189,154,99,
2010,Shin-Soo Choo,CLE,144,646,18.30%,26.00%,62.50%,68.00%,87.10%,43.80%,55.00%,9.10%,23.90%,2537,0.444,0.79,195,151,85,
2016,Nolan Arenado,COL,160,696,14.80%,34.10%,70.80%,68.60%,90.10%,42.60%,60.10%,8.50%,24.10%,2743,0.488,0.823,184,244,94,
2011,Justin Upton,ARI,159,674,18.70%,29.30%,52.90%,70.30%,86.20%,43.80%,58.30%,11.80%,26.10%,2553,0.472,0.746,172,209,85,
2018,Brandon Nimmo,NYM,140,535,26.20%,19.70%,57.50%,63.60%,82.70%,44.50%,63.00%,9.50%,29.40%,2262,0.392,0.756,131,97,63,
2017,Nelson Cruz,SEA,155,645,21.70%,29.60%,51.80%,71.40%,81.40%,42.00%,59.40%,13.90%,27.50%,2474,0.472,0.706,171,177,75,
2017,Daniel Murphy,WSN,144,593,13.00%,31.20%,77.50%,67.10%,93.50%,44.40%,54.10%,5.80%,21.80%,2174,0.471,0.876,154,179,127,
2011,Paul Konerko,CHW,149,639,13.90%,27.40%,67.50%,62.60%,90.70%,45.00%,56.80%,7.30%,24.50%,2502,0.433,0.826,172,189,104,
2019,Jeff McNeil,NYM,133,567,13.20%,41.70%,71.50%,85.00%,88.10%,42.00%,64.20%,11.10%,18.70%,2067,0.599,0.814,186,149,95,
2019,Pete Alonso,NYM,161,693,26.40%,34.60%,62.00%,68.10%,83.40%,35.90%,59.00%,12.50%,27.90%,2762,0.466,0.732,169,173,75,
2013,Josh Donaldson,OAK,158,668,16.50%,26.60%,70.60%,66.80%,84.20%,43.80%,58.50%,9.00%,25.50%,2697,0.442,0.796,208,169,98,
2013,Robinson Cano,NYY,160,681,12.50%,33.90%,77.00%,71.60%,93.30%,40.60%,60.60%,6.40%,20.60%,2476,0.492,0.867,232,156,136,
2015,Anthony Rizzo,CHC,160,701,15.00%,32.70%,71.50%,67.90%,92.00%,38.70%,54.80%,7.70%,23.00%,2751,0.463,0.831,168,212,106,
2018,Trevor Story,COL,157,656,25.60%,32.20%,60.30%,74.60%,87.20%,42.70%,60.40%,11.40%,24.60%,2555,0.503,0.774,148,186,98,
2014,Miguel Cabrera,DET,159,685,17.10%,34.90%,63.70%,72.90%,89.80%,41.50%,64.70%,10.40%,23.90%,2531,0.507,0.793,202,178,125,
2011,Albert Pujols,STL,147,651,8.90%,31.00%,78.10%,62.90%,92.20%,43.00%,52.80%,5.80%,22.30%,2378,0.447,0.866,236,202,90,
2012,Aramis Ramirez,MIL,149,630,13.00%,35.70%,67.40%,73.00%,89.00%,44.00%,62.50%,10.00%,23.10%,2243,0.521,0.807,190,209,93,
2016,J.D. Martinez,DET,120,517,24.80%,33.20%,52.40%,77.10%,84.50%,44.00%,61.50%,14.00%,24.70%,2022,0.525,0.732,143,122,72,
2011,Alex Avila,DET,141,551,23.80%,24.30%,54.70%,66.50%,85.90%,43.90%,56.40%,10.10%,26.90%,2220,0.428,0.759,129,138,74,
2016,Nelson Cruz,SEA,155,667,23.80%,30.50%,53.00%,70.70%,83.30%,42.80%,57.70%,13.20%,27.30%,2732,0.478,0.722,194,164,79,
2013,Joe Mauer,MIN,113,508,17.50%,23.70%,75.30%,55.70%,88.50%,43.90%,53.30%,6.00%,29.40%,2158,0.377,0.839,168,91,99,
2018,Anthony Rendon,WSN,136,597,13.70%,28.90%,78.50%,70.10%,92.20%,45.60%,62.10%,5.90%,23.50%,2365,0.477,0.877,148,198,108,
2013,Matt Holliday,STL,141,602,14.30%,31.00%,68.30%,76.10%,88.10%,41.90%,60.60%,9.40%,21.80%,2236,0.499,0.809,200,147,91,
2011,Alex Gordon,KCR,151,690,20.10%,26.50%,67.00%,67.60%,84.60%,44.30%,58.80%,9.40%,24.80%,2765,0.447,0.788,187,182,104,
2010,David Ortiz,BOS,145,606,23.90%,25.70%,60.50%,70.20%,84.00%,40.90%,49.50%,10.40%,24.90%,2647,0.439,0.758,142,168,65,
2016,Paul Goldschmidt,ARI,158,705,21.30%,23.00%,69.60%,60.70%,84.40%,42.60%,56.70%,7.90%,27.30%,3012,0.39,0.794,203,126,108,
2017,Marwin Gonzalez,HOU,134,515,19.20%,29.20%,68.80%,59.80%,89.00%,42.40%,56.70%,8.00%,27.50%,2114,0.422,0.809,154,127,70,
2010,Dan Uggla,FLA,159,674,22.10%,22.00%,54.30%,66.00%,81.80%,43.50%,55.20%,10.80%,28.50%,2830,0.411,0.735,176,190,79,
2011,Giancarlo Stanton,FLA,150,601,27.60%,32.70%,48.10%,68.50%,80.90%,38.10%,55.10%,15.30%,29.00%,2377,0.463,0.666,161,137,58,
2013,Matt Carpenter,STL,157,717,13.70%,21.80%,75.90%,55.50%,95.00%,45.30%,60.90%,4.10%,28.40%,2954,0.371,0.888,206,181,145,
2010,Prince Fielder,MIL,161,714,19.30%,27.70%,60.20%,68.20%,86.80%,38.60%,51.10%,10.00%,24.70%,2775,0.434,0.764,187,175,79,
2010,Adam Dunn,WSN,158,648,30.70%,27.70%,48.30%,68.30%,79.90%,40.70%,55.20%,13.80%,28.40%,2663,0.443,0.681,120,178,65,
2011,Adrian Beltre,TEX,124,525,10.10%,36.20%,72.40%,68.30%,93.00%,45.40%,58.70%,7.60%,23.40%,1928,0.508,0.85,167,195,80,
2019,Eugenio Suarez,CIN,159,662,28.50%,26.60%,51.30%,68.60%,84.60%,42.30%,61.80%,12.00%,29.20%,2728,0.444,0.731,141,166,85,
2019,Mookie Betts,BOS,150,706,14.30%,21.40%,71.90%,61.50%,93.70%,42.30%,55.10%,5.10%,25.70%,2909,0.383,0.866,159,221,125,
2015,Andrew McCutchen,PIT,157,685,19.40%,23.70%,60.60%,70.80%,82.60%,43.20%,55.50%,10.50%,24.60%,2780,0.441,0.759,169,169,104,
2019,Trevor Story,COL,145,656,26.50%,31.50%,60.10%,72.00%,84.80%,40.80%,57.90%,11.90%,26.00%,2684,0.48,0.752,139,176,101,
2014,Adrian Beltre,TEX,148,614,12.10%,35.50%,79.20%,65.10%,88.50%,43.10%,57.80%,7.30%,23.30%,2331,0.483,0.846,203,171,106,
2012,Josh Willingham,MIN,145,615,22.90%,21.40%,58.90%,62.70%,82.90%,45.10%,58.70%,9.60%,28.20%,2588,0.401,0.758,146,165,73,
2017,Cody Bellinger,LAD,132,548,26.60%,27.40%,56.40%,67.40%,76.90%,42.30%,55.30%,13.50%,28.30%,2205,0.444,0.696,116,155,58,
2015,David Peralta,ARI,149,517,20.70%,31.80%,60.20%,68.30%,88.40%,43.00%,62.70%,10.60%,26.20%,1923,0.475,0.777,188,96,77,
2017,Anthony Rizzo,CHC,157,691,13.00%,30.40%,71.00%,66.80%,90.60%,43.70%,56.20%,7.70%,23.30%,2723,0.463,0.833,196,189,97,
