,Season,Name,xBB%,BB%
712,2012,Carlos Santana,0.152,0.149
672,2015,Jason Heyward,0.107,0.092
325,2015,Andre Ethier,0.083,0.097
61,2021,Fernando Tatis Jr.,0.119,0.114
687,2021,Tyler Naquin,0.062,0.077
715,2016,Adam Eaton,0.085,0.089
203,2019,Miguel Sano,0.136,0.125
830,2021,Chris Taylor,0.115,0.108
635,2018,Andrew McCutchen,0.13,0.139
39,2014,Victor Martinez,0.091,0.109
620,2019,Ji-Man Choi,0.122,0.131
14,2017,Joey Votto,0.171,0.19
356,2017,Joey Gallo,0.145,0.141
13,2017,Aaron Judge,0.178,0.187
166,2013,Joe Mauer,0.112,0.12
866,2014,Matt Adams,0.047,0.046
1261,2018,Paul DeJong,0.072,0.073
285,2021,Giancarlo Stanton,0.108,0.109
621,2017,Christian Yelich,0.114,0.115
1240,2013,Mark Trumbo,0.067,0.08
849,2015,Chris Coghlan,0.111,0.115
1143,2017,Denard Span,0.073,0.074
628,2011,Chipper Jones,0.107,0.1
360,2014,Justin Upton,0.09,0.094
417,2016,Ben Zobrist,0.137,0.152
639,2017,Jed Lowrie,0.116,0.113
289,2013,Brandon Moss,0.094,0.099
415,2013,Evan Longoria,0.105,0.101
957,2018,Brian Anderson,0.091,0.093
109,2018,Jose Ramirez,0.15,0.152
651,2015,Carlos Beltran,0.078,0.085
713,2011,Asdrubal Cabrera,0.085,0.066
103,2017,Michael Conforto,0.111,0.13
780,2016,Francisco Lindor,0.078,0.083
252,2019,Trey Mancini,0.086,0.093
238,2011,Robinson Cano,0.06,0.056
612,2021,Joey Gallo,0.172,0.18
638,2019,Javier Baez,0.056,0.05
701,2011,Marco Scutaro,0.091,0.085
170,2021,Kyle Tucker,0.097,0.093
368,2012,Paul Goldschmidt,0.096,0.102
338,2015,Carlos Correa,0.087,0.093
765,2017,Corey Dickerson,0.054,0.056
110,2014,J.D. Martinez,0.059,0.063
167,2018,Anthony Rendon,0.072,0.092
384,2019,Joc Pederson,0.103,0.097
829,2018,Carlos Gonzalez,0.091,0.073
413,2011,Nick Swisher,0.158,0.15
280,2016,Carlos Santana,0.144,0.144
904,2011,Jason Kubel,0.084,0.08
1155,2015,Neil Walker,0.076,0.073
282,2014,Nelson Cruz,0.075,0.081
248,2016,Edwin Encarnacion,0.126,0.124
47,2011,Adrian Gonzalez,0.11,0.103
1057,2021,Akil Baddoo,0.106,0.098
600,2016,Khris Davis,0.066,0.069
1033,2019,Ryan McMahon,0.112,0.104
204,2019,Josh Bell,0.126,0.121
667,2021,Avisail Garcia,0.054,0.074
1187,2012,Coco Crisp,0.086,0.089
50,2017,Freddie Freeman,0.125,0.126
817,2017,Mookie Betts,0.098,0.108
119,2011,Michael Morse,0.068,0.063
987,2019,Joey Votto,0.131,0.125
498,2015,Eric Hosmer,0.096,0.091
5,2011,Jose Bautista,0.192,0.202
1242,2011,Bobby Abreu,0.144,0.133
396,2014,Lucas Duda,0.124,0.116
