,Season,Name,xBABIP,BABIP
159,2015,Carlos Santana,0.275,0.261
437,2021,Jorge Soler,0.26,0.25
999,2016,Aledmys Diaz,0.276,0.312
91,2015,Melky Cabrera,0.314,0.297
678,2017,Josh Harrison,0.294,0.303
49,2018,Bryce Harper,0.315,0.289
139,2016,Adam Jones,0.27,0.28
940,2019,Gio Urshela,0.316,0.349
1183,2019,David Dahl,0.352,0.386
929,2019,Ramon Laureano,0.318,0.342
512,2019,Willy Adames,0.322,0.32
89,2018,Ozzie Albies,0.298,0.285
250,2021,Bryan Reynolds,0.337,0.345
1156,2019,Jake Bauers,0.294,0.29
29,2018,Nick Markakis,0.334,0.318
492,2018,Dee Strange-Gordon,0.327,0.304
894,2018,Jason Heyward,0.292,0.297
519,2018,Aaron Hicks,0.306,0.264
435,2021,Xander Bogaerts,0.314,0.333
456,2015,Jace Peterson,0.309,0.296
269,2016,Adrian Beltre,0.277,0.293
671,2018,Joe Mauer,0.359,0.33
1086,2015,Khris Davis,0.291,0.285
502,2021,Enrique Hernandez,0.288,0.278
133,2017,Jose Abreu,0.309,0.33
924,2017,Jason Heyward,0.289,0.284
605,2015,Brandon Belt,0.353,0.363
1132,2017,Willson Contreras,0.292,0.319
959,2015,Mike Napoli,0.264,0.268
320,2018,Michael Brantley,0.332,0.319
189,2019,Cody Bellinger,0.324,0.302
405,2016,Adam Duvall,0.286,0.275
1173,2016,Colby Rasmus,0.269,0.257
665,2018,Salvador Perez,0.277,0.245
388,2019,Anthony Rizzo,0.328,0.306
572,2016,Logan Forsythe,0.326,0.314
562,2017,Chris Taylor,0.33,0.361
73,2017,Elvis Andrus,0.305,0.325
690,2017,Hunter Pence,0.29,0.301
966,2015,Jung Ho Kang,0.329,0.344
727,2018,J.T. Realmuto,0.314,0.312
271,2015,Jhonny Peralta,0.306,0.311
1039,2018,Evan Gattis,0.246,0.232
992,2018,Enrique Hernandez,0.271,0.266
81,2015,Kole Calhoun,0.303,0.304
317,2016,Ben Zobrist,0.304,0.29
1051,2021,Sean Murphy,0.278,0.257
131,2015,Ian Kinsler,0.302,0.323
1194,2017,Gregory Polanco,0.282,0.272
