,Season,Name,xISO,ISO
889,2021,Jean Segura,0.059,0.064
816,2018,Jedd Gyorko,0.062,0.06
543,2016,Russell Martin,0.056,0.035
887,2015,Jorge Soler,0.071,0.055
380,2017,Tommy Pham,0.064,0.059
639,2015,Shin-Soo Choo,0.062,0.068
985,2018,Miguel Rojas,0.062,0.026
250,2017,Domingo Santana,0.068,0.056
586,2019,Jason Heyward,0.064,0.054
884,2021,Yuli Gurriel,0.066,0.058
89,2019,Max Muncy,0.065,0.049
368,2017,Didi Gregorius,0.061,0.051
1047,2015,Kolten Wong,0.066,0.065
413,2021,Bo Bichette,0.063,0.05
525,2015,Salvador Perez,0.061,0.047
405,2019,Albert Pujols,0.056,0.044
903,2015,Ben Zobrist,0.067,0.089
710,2015,Wilmer Flores,0.066,0.046
982,2015,Yasmany Tomas,0.068,0.061
1179,2017,Alcides Escobar,0.066,0.077
57,2017,Ryan Zimmerman,0.062,0.063
997,2016,J.T. Realmuto,0.06,0.061
451,2019,Nomar Mazara,0.058,0.067
166,2018,Giancarlo Stanton,0.057,0.058
360,2018,Mike Moustakas,0.066,0.061
570,2019,David Dahl,0.068,0.102
953,2017,Brad Miller,0.059,0.056
13,2018,Max Muncy,0.056,0.053
873,2015,Carlos Gomez,0.064,0.071
266,2017,Jose Abreu,0.062,0.089
117,2017,Scott Schebler,0.056,0.062
86,2016,Edwin Encarnacion,0.06,0.056
944,2021,Charlie Blackmon,0.063,0.064
412,2018,Teoscar Hernandez,0.063,0.09
777,2019,Chris Taylor,0.072,0.101
1075,2015,James McCann,0.071,0.07
681,2018,Ian Happ,0.062,0.06
832,2017,Cory Spangenberg,0.061,0.049
778,2016,Kevin Kiermaier,0.064,0.066
626,2019,Ozzie Albies,0.07,0.092
740,2021,Kyle Farmer,0.065,0.054
676,2019,Kevin Pillar,0.064,0.07
1026,2016,Joe Mauer,0.067,0.061
60,2019,Nolan Arenado,0.063,0.06
1025,2015,Kevin Pillar,0.066,0.06
648,2016,Didi Gregorius,0.063,0.064
742,2016,Hernan Perez,0.063,0.059
741,2017,Miguel Cabrera,0.07,0.047
914,2021,Yandy Diaz,0.059,0.047
957,2021,Joey Wendle,0.063,0.085
129,2019,Teoscar Hernandez,0.058,0.055
630,2015,Rougned Odor,0.056,0.091
107,2017,Mike Zunino,0.064,0.064
282,2016,Albert Pujols,0.059,0.032
1210,2015,Dee Strange-Gordon,0.06,0.065
200,2019,Renato Nunez,0.062,0.044
30,2021,Joey Votto,0.067,0.056
415,2017,Josh Bell,0.058,0.069
1163,2021,Leury Garcia,0.06,0.072
20,2015,Chris Davis,0.061,0.054
829,2016,Eduardo Nunez,0.061,0.058
1183,2021,Kevin Newman,0.061,0.054
512,2017,Tim Beckham,0.062,0.052
