,Season,Name,xBABIP,BABIP
1078,2021,Gio Urshela,0.326,0.329
732,2017,Tommy Pham,0.35,0.368
890,2018,Paul DeJong,0.298,0.288
1107,2018,Yan Gomes,0.307,0.336
271,2015,Jhonny Peralta,0.305,0.311
1133,2018,Adam Duvall,0.268,0.237
598,2019,Yoan Moncada,0.343,0.406
534,2017,David Peralta,0.312,0.333
273,2021,Adam Frazier,0.339,0.339
740,2016,Starling Marte,0.346,0.38
1013,2018,James McCann,0.296,0.282
31,2019,Rhys Hoskins,0.261,0.267
217,2017,Kole Calhoun,0.3,0.284
445,2018,Andrelton Simmons,0.29,0.3
170,2015,Nolan Arenado,0.284,0.284
1117,2016,Adam Lind,0.296,0.259
1216,2019,Anthony Santander,0.264,0.285
744,2015,Austin Jackson,0.344,0.342
748,2016,Joe Panik,0.29,0.245
127,2016,Wil Myers,0.327,0.305
461,2021,Ryan McMahon,0.331,0.306
845,2021,Will Smith,0.301,0.274
63,2017,Anthony Rizzo,0.296,0.273
1224,2021,Maikel Franco,0.27,0.225
1137,2017,Carlos Gomez,0.302,0.336
786,2015,Mitch Moreland,0.299,0.317
922,2017,Carlos Correa,0.329,0.352
440,2016,Brad Miller,0.299,0.277
1071,2018,Joc Pederson,0.273,0.253
421,2017,Ryon Healy,0.285,0.319
264,2015,Chase Headley,0.313,0.317
1072,2019,Kyle Seager,0.292,0.248
1065,2016,C.J. Cron,0.296,0.302
843,2018,Jonathan Schoop,0.275,0.261
952,2018,Kendrys Morales,0.304,0.272
1193,2015,Alex Rios,0.296,0.294
1118,2019,Cavan Biggio,0.318,0.309
386,2018,Mookie Betts,0.317,0.368
880,2021,Kolten Wong,0.313,0.305
13,2016,Robinson Cano,0.291,0.299
812,2019,Evan Longoria,0.303,0.291
1101,2015,A.J. Pierzynski,0.303,0.31
182,2019,Nolan Arenado,0.276,0.312
910,2018,Scott Kingery,0.306,0.291
7,2021,Marcus Semien,0.284,0.276
695,2021,David Peralta,0.318,0.303
733,2016,Travis Shaw,0.284,0.299
772,2017,Jose Peraza,0.309,0.293
502,2021,Enrique Hernandez,0.288,0.278
779,2016,J.D. Martinez,0.315,0.378
68,2021,Bo Bichette,0.346,0.339
505,2021,Nick Castellanos,0.342,0.34
3,2018,Trea Turner,0.305,0.314
525,2018,Ketel Marte,0.315,0.282
2,2016,George Springer,0.315,0.317
1062,2015,Justin Bour,0.267,0.294
763,2016,Josh Harrison,0.303,0.323
689,2016,Melvin Upton Jr.,0.312,0.3
556,2017,Yasiel Puig,0.283,0.274
1051,2021,Sean Murphy,0.278,0.257
121,2021,Isiah Kiner-Falefa,0.319,0.304
188,2016,Carlos Correa,0.333,0.328
547,2017,Joe Panik,0.298,0.301
484,2018,Jose Martinez,0.344,0.351
71,2018,Paul Goldschmidt,0.33,0.359
265,2021,Nathaniel Lowe,0.334,0.339
1105,2017,Mike Zunino,0.282,0.355
804,2016,Cheslor Cuthbert,0.275,0.32
178,2015,Alcides Escobar,0.309,0.286
341,2016,Freddy Galvis,0.3,0.28
131,2015,Ian Kinsler,0.301,0.323
713,2017,Yolmer Sanchez,0.307,0.321
1086,2015,Khris Davis,0.291,0.285
531,2016,Ender Inciarte,0.323,0.329
796,2019,Danny Santana,0.346,0.353
956,2016,Giancarlo Stanton,0.274,0.29
1174,2019,Christin Stewart,0.29,0.29
678,2017,Josh Harrison,0.293,0.303
724,2016,Yonder Alonso,0.301,0.284
807,2018,Kyle Schwarber,0.305,0.288
55,2015,Paul Goldschmidt,0.343,0.382
1088,2016,Josh Reddick,0.295,0.306
428,2019,Gleyber Torres,0.293,0.296
946,2018,Jose Pirela,0.314,0.301
99,2017,DJ LeMahieu,0.358,0.351
228,2018,Christian Yelich,0.377,0.373
56,2016,Jean Segura,0.332,0.353
